Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,numVariables,numConstraints,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance4XS50_3_10,3,50,10,4,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance5XS50_3_10,3,50,10,5,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance1XS50_4_10,4,50,10,1,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance2XS50_4_10,4,50,10,2,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance3XS50_4_10,4,50,10,3,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance4XS50_4_10,4,50,10,4,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance5XS50_4_10,4,50,10,5,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance1XS100_2_20,2,100,20,1,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance2XS100_2_20,2,100,20,2,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance3XS100_2_20,2,100,20,3,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance4XS100_2_20,2,100,20,4,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance5XS100_2_20,2,100,20,5,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance1XS100_3_20,3,100,20,1,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance2XS100_3_20,3,100,20,2,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance3XS100_3_20,3,100,20,3,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance4XS100_3_20,3,100,20,4,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance5XS100_3_20,3,100,20,5,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance1XS100_4_20,4,100,20,1,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance2XS100_4_20,4,100,20,2,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance3XS100_4_20,4,100,20,3,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance4XS100_4_20,4,100,20,4,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
